VendorB,2025-02-08 13:51:05.220428,2025-02-08 14:50:05.220428,4,4,Discount,Y,13,10,Digital,15.02,0.72,0.91,12.02,0.06,1.18,29.91
VendorA,2025-01-11 17:19:05.220491,2025-01-11 17:59:05.220491,2,13,Discount,N,16,3,Credit,5.65,2.92,0.67,10.96,6.04,3.42,29.66
VendorA,2025-01-21 10:32:05.220524,2025-01-21 11:18:05.220524,3,10,Standard,N,14,20,Digital,49.51,4.61,0.56,13.07,2.24,4.09,74.08
VendorA,2025-02-01 15:05:05.220553,2025-02-01 15:25:05.220553,2,4,Standard,N,10,3,Credit,34.45,2.43,1.03,4.12,4.68,4.81,51.52
VendorB,2025-01-29 03:27:05.220583,2025-01-29 03:42:05.220583,4,11,Standard,Y,19,11,Cash,26.29,4.83,0.65,9.54,5.65,4.67,51.63
VendorB,2025-01-21 18:12:05.220609,2025-01-21 18:28:05.220609,1,2,Discount,Y,15,12,Credit,40.0,1.07,1.83,10.33,3.81,0.69,57.73
VendorB,2025-01-19 16:07:05.220634,2025-01-19 16:42:05.220634,1,11,Discount,N,17,5,Cash,46.62,3.51,1.03,5.59,6.63,3.44,66.82
VendorA,2025-01-31 01:11:05.220654,2025-01-31 01:49:05.220654,3,12,Premium,Y,3,9,Credit,10.82,2.15,1.91,13.93,9.91,0.16,38.88
VendorB,2025-01-14 17:01:05.220673,2025-01-14 17:40:05.220673,4,9,Premium,Y,19,2,Cash,48.99,4.71,1.73,10.07,9.97,1.43,76.9
VendorB,2025-01-22 09:15:05.220690,2025-01-22 09:51:05.220690,2,1,Premium,N,10,9,Digital,45.51,3.9,0.52,9.36,3.6,4.15,67.04
VendorB,2025-01-22 01:42:05.220705,2025-01-22 02:27:05.220705,4,15,Discount,N,4,2,Credit,7.76,4.38,1.26,6.86,2.56,0.57,23.39
VendorA,2025-01-13 19:48:05.220736,2025-01-13 19:56:05.220736,1,5,Premium,Y,8,8,Cash,29.85,2.75,1.12,13.57,7.33,3.83,58.45
VendorB,2025-02-10 17:20:05.220753,2025-02-10 17:42:05.220753,2,4,Standard,Y,8,19,Digital,33.68,1.9,1.19,2.64,7.44,3.3,50.15
VendorA,2025-01-28 16:06:05.220769,2025-01-28 17:01:05.220769,4,7,Discount,N,10,1,Cash,33.04,2.04,1.48,4.07,8.52,1.41,50.56
VendorA,2025-01-27 18:33:05.220785,2025-01-27 19:13:05.220785,3,8,Discount,Y,17,7,Credit,39.54,1.75,1.81,10.39,5.85,4.21,63.55
VendorB,2025-02-05 06:15:05.220800,2025-02-05 06:40:05.220800,4,11,Standard,N,7,13,Credit,44.84,1.9,0.6,2.54,9.67,0.86,60.41
VendorA,2025-02-03 01:12:05.220824,2025-02-03 01:43:05.220824,2,14,Discount,Y,2,13,Credit,28.25,1.19,0.88,3.44,1.06,4.3,39.12
VendorA,2025-02-07 14:05:05.220853,2025-02-07 14:33:05.220853,1,14,Discount,N,4,18,Digital,24.95,1.01,1.61,13.45,8.1,4.89,54.01
VendorA,2025-02-06 01:57:05.220868,2025-02-06 02:32:05.220868,1,13,Premium,N,8,14,Credit,8.95,3.73,1.73,11.9,9.44,3.57,39.32
VendorA,2025-01-16 11:40:05.220883,2025-01-16 12:13:05.220883,4,13,Standard,Y,16,20,Cash,39.62,3.94,1.44,5.72,5.12,1.7,57.54
VendorB,2025-02-02 20:58:05.220898,2025-02-02 21:49:05.220898,4,14,Standard,Y,1,17,Credit,23.25,2.43,1.73,14.39,8.75,4.76,55.31
VendorA,2025-01-14 06:39:05.220920,2025-01-14 07:12:05.220920,3,7,Standard,Y,7,12,Credit,30.31,3.03,1.65,4.61,0.18,2.66,42.44
VendorB,2025-02-02 16:06:05.220940,2025-02-02 16:47:05.220940,4,3,Premium,Y,4,11,Credit,42.16,4.79,1.24,8.78,1.45,3.84,62.26
VendorB,2025-01-13 22:07:05.220955,2025-01-13 22:58:05.220955,2,10,Discount,Y,17,13,Digital,33.88,2.52,1.27,7.92,8.87,2.32,56.78
VendorB,2025-02-03 10:18:05.220971,2025-02-03 10:34:05.220971,4,3,Premium,Y,2,11,Digital,15.07,0.07,0.8,14.16,8.97,1.79,40.86
VendorA,2025-01-24 03:51:05.220986,2025-01-24 04:19:05.220986,1,8,Premium,Y,12,4,Cash,13.58,1.31,1.32,13.84,1.54,1.46,33.05
VendorA,2025-01-27 20:20:05.221007,2025-01-27 20:52:05.221007,4,15,Premium,Y,15,15,Credit,12.56,3.29,1.22,2.17,4.64,2.8,26.68
VendorA,2025-01-26 22:28:05.221032,2025-01-26 22:53:05.221032,3,8,Discount,N,9,9,Digital,47.85,0.26,1.88,1.11,4.86,4.28,60.24
VendorA,2025-01-24 07:31:05.221047,2025-01-24 07:53:05.221047,1,11,Standard,Y,12,9,Cash,36.13,1.77,1.54,0.38,4.92,3.26,48.0
VendorA,2025-02-09 09:46:05.221062,2025-02-09 10:08:05.221062,1,7,Premium,N,7,16,Digital,33.2,1.84,1.03,10.88,9.76,1.77,58.48
VendorB,2025-02-10 18:03:05.221077,2025-02-10 18:56:05.221077,4,6,Discount,N,10,8,Digital,48.63,4.89,1.1,13.9,1.29,3.95,73.76
VendorA,2025-01-31 20:09:05.221092,2025-01-31 20:21:05.221092,2,10,Discount,N,7,14,Credit,37.33,0.34,1.42,0.21,7.49,4.9,51.69
VendorA,2025-01-30 14:33:05.221112,2025-01-30 15:02:05.221112,2,12,Discount,Y,16,5,Cash,8.11,4.78,1.83,2.98,9.95,3.97,31.62
VendorA,2025-01-28 21:35:05.221134,2025-01-28 22:35:05.221134,4,13,Standard,N,13,13,Cash,44.39,3.34,1.72,2.3,7.11,1.72,60.58
VendorA,2025-01-24 19:45:05.221149,2025-01-24 20:18:05.221149,2,10,Standard,Y,3,10,Digital,18.5,2.58,1.53,9.25,6.3,3.77,41.93
